Day-Date,PartyID,PartySht,Party,Party Votes,Party Seats,Total Seats,Party Votes %,Candidate Seats
23rd 22:10,27 , NZOP , NZ Outdoors Party , 1162 , 0 , 0 , 0.1 , 0
23rd 22:10,8 , NZDSC , Democrats for Social Credit , 644 , 0 , 0 , 0.0 , 0
23rd 22:10,14 , IP , Internet Party , 426 , 0 , 0 , 0.0 , 0
23rd 22:11,6 , NAT , National Party , 893225 , 18 , 58 , 46.3 , 40
23rd 22:11,5 , LAB , Labour Party , 688523 , 16 , 45 , 35.7 , 29
23rd 22:11,7 , NZF , New Zealand First Party , 143665 , 8 , 9 , 7.4 , 1
23rd 22:11,4 , GP , Green Party , 112979 , 7 , 7 , 5.9 , 0
23rd 22:11,28 , TOP , The Opportunities Party (TOP) , 42342 , 0 , 0 , 2.2 , 0
23rd 22:11,10 , MAOR , Māori Party , 20585 , 0 , 0 , 1.1 , 0
23rd 22:11,1 , ACT , ACT New Zealand , 9725 , 0 , 1 , 0.5 , 1
23rd 22:11,3 , ALCP , Aotearoa Legalise Cannabis Party , 5076 , 0 , 0 , 0.3 , 0
23rd 22:11,12 , CNSP , Conservative , 4728 , 0 , 0 , 0.2 , 0
23rd 22:11,11 , MANA , MANA , 2221 , 0 , 0 , 0.1 , 0
23rd 22:11,18 , BAN , Ban1080 , 2155 , 0 , 0 , 0.1 , 0
23rd 22:11,29 , NZPP , New Zealand People's Party , 1444 , 0 , 0 , 0.1 , 0
23rd 22:11,9 , UFNZ , United Future , 1292 , 0 , 0 , 0.1 , 0
23rd 22:11,27 , NZOP , NZ Outdoors Party , 1164 , 0 , 0 , 0.1 , 0
23rd 22:11,8 , NZDSC , Democrats for Social Credit , 645 , 0 , 0 , 0.0 , 0
23rd 22:11,14 , IP , Internet Party , 429 , 0 , 0 , 0.0 , 0
23rd 22:12,6 , NAT , National Party , 897255 , 18 , 58 , 46.3 , 40
23rd 22:12,5 , LAB , Labour Party , 691817 , 16 , 45 , 35.7 , 29
23rd 22:12,7 , NZF , New Zealand First Party , 144374 , 8 , 9 , 7.4 , 1
23rd 22:12,4 , GP , Green Party , 113678 , 7 , 7 , 5.9 , 0
23rd 22:12,28 , TOP , The Opportunities Party (TOP) , 42580 , 0 , 0 , 2.2 , 0
23rd 22:12,10 , MAOR , Māori Party , 20670 , 0 , 0 , 1.1 , 0
23rd 22:12,1 , ACT , ACT New Zealand , 9792 , 0 , 1 , 0.5 , 1
23rd 22:12,3 , ALCP , Aotearoa Legalise Cannabis Party , 5103 , 0 , 0 , 0.3 , 0
23rd 22:12,12 , CNSP , Conservative , 4749 , 0 , 0 , 0.2 , 0
23rd 22:12,11 , MANA , MANA , 2232 , 0 , 0 , 0.1 , 0
23rd 22:12,18 , BAN , Ban1080 , 2165 , 0 , 0 , 0.1 , 0
23rd 22:12,29 , NZPP , New Zealand People's Party , 1450 , 0 , 0 , 0.1 , 0
23rd 22:12,9 , UFNZ , United Future , 1300 , 0 , 0 , 0.1 , 0
23rd 22:12,27 , NZOP , NZ Outdoors Party , 1169 , 0 , 0 , 0.1 , 0
23rd 22:12,8 , NZDSC , Democrats for Social Credit , 650 , 0 , 0 , 0.0 , 0
23rd 22:12,14 , IP , Internet Party , 429 , 0 , 0 , 0.0 , 0
23rd 22:13,6 , NAT , National Party , 900328 , 18 , 58 , 46.3 , 40
23rd 22:13,5 , LAB , Labour Party , 694086 , 16 , 45 , 35.7 , 29
23rd 22:13,7 , NZF , New Zealand First Party , 144837 , 8 , 9 , 7.4 , 1
23rd 22:13,4 , GP , Green Party , 113954 , 7 , 7 , 5.9 , 0
23rd 22:13,28 , TOP , The Opportunities Party (TOP) , 42707 , 0 , 0 , 2.2 , 0
23rd 22:13,10 , MAOR , Māori Party , 20791 , 0 , 0 , 1.1 , 0
23rd 22:13,1 , ACT , ACT New Zealand , 9833 , 0 , 1 , 0.5 , 1
23rd 22:13,3 , ALCP , Aotearoa Legalise Cannabis Party , 5118 , 0 , 0 , 0.3 , 0
23rd 22:13,12 , CNSP , Conservative , 4770 , 0 , 0 , 0.2 , 0
23rd 22:13,11 , MANA , MANA , 2242 , 0 , 0 , 0.1 , 0
23rd 22:13,18 , BAN , Ban1080 , 2171 , 0 , 0 , 0.1 , 0
23rd 22:13,29 , NZPP , New Zealand People's Party , 1452 , 0 , 0 , 0.1 , 0
23rd 22:13,9 , UFNZ , United Future , 1306 , 0 , 0 , 0.1 , 0
23rd 22:13,27 , NZOP , NZ Outdoors Party , 1171 , 0 , 0 , 0.1 , 0
23rd 22:13,8 , NZDSC , Democrats for Social Credit , 653 , 0 , 0 , 0.0 , 0
23rd 22:13,14 , IP , Internet Party , 432 , 0 , 0 , 0.0 , 0
23rd 22:14,6 , NAT , National Party , 901349 , 18 , 58 , 46.3 , 40
23rd 22:14,5 , LAB , Labour Party , 694921 , 16 , 45 , 35.7 , 29
23rd 22:14,7 , NZF , New Zealand First Party , 145012 , 8 , 9 , 7.4 , 1
23rd 22:14,4 , GP , Green Party , 114165 , 7 , 7 , 5.9 , 0
23rd 22:14,28 , TOP , The Opportunities Party (TOP) , 42778 , 0 , 0 , 2.2 , 0
23rd 22:14,10 , MAOR , Māori Party , 20809 , 0 , 0 , 1.1 , 0
23rd 22:14,1 , ACT , ACT New Zealand , 9841 , 0 , 1 , 0.5 , 1
23rd 22:14,3 , ALCP , Aotearoa Legalise Cannabis Party , 5120 , 0 , 0 , 0.3 , 0
23rd 22:14,12 , CNSP , Conservative , 4774 , 0 , 0 , 0.2 , 0
23rd 22:14,11 , MANA , MANA , 2246 , 0 , 0 , 0.1 , 0
23rd 22:14,18 , BAN , Ban1080 , 2173 , 0 , 0 , 0.1 , 0
23rd 22:14,29 , NZPP , New Zealand People's Party , 1453 , 0 , 0 , 0.1 , 0
23rd 22:14,9 , UFNZ , United Future , 1306 , 0 , 0 , 0.1 , 0
23rd 22:14,27 , NZOP , NZ Outdoors Party , 1173 , 0 , 0 , 0.1 , 0
23rd 22:14,8 , NZDSC , Democrats for Social Credit , 653 , 0 , 0 , 0.0 , 0
23rd 22:14,14 , IP , Internet Party , 435 , 0 , 0 , 0.0 , 0
23rd 22:15,6 , NAT , National Party , 905658 , 18 , 58 , 46.3 , 40
23rd 22:15,5 , LAB , Labour Party , 698177 , 16 , 45 , 35.7 , 29
23rd 22:15,7 , NZF , New Zealand First Party , 145595 , 8 , 9 , 7.4 , 1
23rd 22:15,4 , GP , Green Party , 114762 , 7 , 7 , 5.9 , 0
23rd 22:15,28 , TOP , The Opportunities Party (TOP) , 43009 , 0 , 0 , 2.2 , 0
23rd 22:15,10 , MAOR , Māori Party , 20879 , 0 , 0 , 1.1 , 0
23rd 22:15,1 , ACT , ACT New Zealand , 9909 , 0 , 1 , 0.5 , 1
23rd 22:15,3 , ALCP , Aotearoa Legalise Cannabis Party , 5145 , 0 , 0 , 0.3 , 0
23rd 22:15,12 , CNSP , Conservative , 4782 , 0 , 0 , 0.2 , 0
23rd 22:15,11 , MANA , MANA , 2266 , 0 , 0 , 0.1 , 0
23rd 22:15,18 , BAN , Ban1080 , 2184 , 0 , 0 , 0.1 , 0
23rd 22:15,29 , NZPP , New Zealand People's Party , 1458 , 0 , 0 , 0.1 , 0
23rd 22:15,9 , UFNZ , United Future , 1313 , 0 , 0 , 0.1 , 0
23rd 22:15,27 , NZOP , NZ Outdoors Party , 1177 , 0 , 0 , 0.1 , 0
23rd 22:15,8 , NZDSC , Democrats for Social Credit , 655 , 0 , 0 , 0.0 , 0
23rd 22:15,14 , IP , Internet Party , 436 , 0 , 0 , 0.0 , 0
23rd 22:16,6 , NAT , National Party , 908689 , 18 , 58 , 46.2 , 40
23rd 22:16,5 , LAB , Labour Party , 701036 , 16 , 45 , 35.7 , 29
23rd 22:16,7 , NZF , New Zealand First Party , 146253 , 8 , 9 , 7.4 , 1
23rd 22:16,4 , GP , Green Party , 115222 , 7 , 7 , 5.9 , 0
23rd 22:16,28 , TOP , The Opportunities Party (TOP) , 43209 , 0 , 0 , 2.2 , 0
23rd 22:16,10 , MAOR , Māori Party , 20969 , 0 , 0 , 1.1 , 0
23rd 22:16,1 , ACT , ACT New Zealand , 9948 , 0 , 1 , 0.5 , 1
23rd 22:16,3 , ALCP , Aotearoa Legalise Cannabis Party , 5173 , 0 , 0 , 0.3 , 0
23rd 22:16,12 , CNSP , Conservative , 4792 , 0 , 0 , 0.2 , 0
23rd 22:16,11 , MANA , MANA , 2280 , 0 , 0 , 0.1 , 0
23rd 22:16,18 , BAN , Ban1080 , 2198 , 0 , 0 , 0.1 , 0
23rd 22:16,29 , NZPP , New Zealand People's Party , 1466 , 0 , 0 , 0.1 , 0
23rd 22:16,9 , UFNZ , United Future , 1318 , 0 , 0 , 0.1 , 0
23rd 22:16,27 , NZOP , NZ Outdoors Party , 1182 , 0 , 0 , 0.1 , 0
23rd 22:16,8 , NZDSC , Democrats for Social Credit , 657 , 0 , 0 , 0.0 , 0
23rd 22:16,14 , IP , Internet Party , 436 , 0 , 0 , 0.0 , 0
23rd 22:17,6 , NAT , National Party , 912183 , 18 , 58 , 46.3 , 40
23rd 22:17,5 , LAB , Labour Party , 703639 , 16 , 45 , 35.7 , 29
23rd 22:17,7 , NZF , New Zealand First Party , 146784 , 8 , 9 , 7.4 , 1
23rd 22:17,4 , GP , Green Party , 115553 , 7 , 7 , 5.9 , 0
23rd 22:17,28 , TOP , The Opportunities Party (TOP) , 43356 , 0 , 0 , 2.2 , 0
23rd 22:17,10 , MAOR , Māori Party , 21034 , 0 , 0 , 1.1 , 0
23rd 22:17,1 , ACT , ACT New Zealand , 10017 , 0 , 1 , 0.5 , 1
23rd 22:17,3 , ALCP , Aotearoa Legalise Cannabis Party , 5191 , 0 , 0 , 0.3 , 0
23rd 22:17,12 , CNSP , Conservative , 4801 , 0 , 0 , 0.2 , 0
23rd 22:17,11 , MANA , MANA , 2287 , 0 , 0 , 0.1 , 0
23rd 22:17,18 , BAN , Ban1080 , 2211 , 0 , 0 , 0.1 , 0
23rd 22:17,29 , NZPP , New Zealand People's Party , 1469 , 0 , 0 , 0.1 , 0
23rd 22:17,9 , UFNZ , United Future , 1323 , 0 , 0 , 0.1 , 0
23rd 22:17,27 , NZOP , NZ Outdoors Party , 1192 , 0 , 0 , 0.1 , 0
23rd 22:17,8 , NZDSC , Democrats for Social Credit , 662 , 0 , 0 , 0.0 , 0
23rd 22:17,14 , IP , Internet Party , 441 , 0 , 0 , 0.0 , 0
23rd 22:18,6 , NAT , National Party , 913196 , 18 , 58 , 46.2 , 40
23rd 22:18,5 , LAB , Labour Party , 704947 , 16 , 45 , 35.7 , 29
23rd 22:18,7 , NZF , New Zealand First Party , 147000 , 8 , 9 , 7.4 , 1
23rd 22:18,4 , GP , Green Party , 115734 , 7 , 7 , 5.9 , 0
23rd 22:18,28 , TOP , The Opportunities Party (TOP) , 43452 , 0 , 0 , 2.2 , 0
23rd 22:18,10 , MAOR , Māori Party , 21090 , 0 , 0 , 1.1 , 0
23rd 22:18,1 , ACT , ACT New Zealand , 10024 , 0 , 1 , 0.5 , 1
23rd 22:18,3 , ALCP , Aotearoa Legalise Cannabis Party , 5201 , 0 , 0 , 0.3 , 0
23rd 22:18,12 , CNSP , Conservative , 4807 , 0 , 0 , 0.2 , 0
23rd 22:18,11 , MANA , MANA , 2293 , 0 , 0 , 0.1 , 0
23rd 22:18,18 , BAN , Ban1080 , 2216 , 0 , 0 , 0.1 , 0
23rd 22:18,29 , NZPP , New Zealand People's Party , 1473 , 0 , 0 , 0.1 , 0
23rd 22:18,9 , UFNZ , United Future , 1327 , 0 , 0 , 0.1 , 0
23rd 22:18,27 , NZOP , NZ Outdoors Party , 1194 , 0 , 0 , 0.1 , 0
23rd 22:18,8 , NZDSC , Democrats for Social Credit , 663 , 0 , 0 , 0.0 , 0
23rd 22:18,14 , IP , Internet Party , 442 , 0 , 0 , 0.0 , 0
23rd 22:19,6 , NAT , National Party , 915744 , 18 , 58 , 46.2 , 40
23rd 22:19,5 , LAB , Labour Party , 706890 , 16 , 45 , 35.7 , 29
23rd 22:19,7 , NZF , New Zealand First Party , 147504 , 8 , 9 , 7.4 , 1
23rd 22:19,4 , GP , Green Party , 116073 , 7 , 7 , 5.9 , 0
23rd 22:19,28 , TOP , The Opportunities Party (TOP) , 43607 , 0 , 0 , 2.2 , 0
23rd 22:19,10 , MAOR , Māori Party , 21148 , 0 , 0 , 1.1 , 0
23rd 22:19,1 , ACT , ACT New Zealand , 10052 , 0 , 1 , 0.5 , 1
23rd 22:19,3 , ALCP , Aotearoa Legalise Cannabis Party , 5214 , 0 , 0 , 0.3 , 0
23rd 22:19,12 , CNSP , Conservative , 4829 , 0 , 0 , 0.2 , 0
23rd 22:19,11 , MANA , MANA , 2298 , 0 , 0 , 0.1 , 0
23rd 22:19,18 , BAN , Ban1080 , 2227 , 0 , 0 , 0.1 , 0
23rd 22:19,29 , NZPP , New Zealand People's Party , 1476 , 0 , 0 , 0.1 , 0
23rd 22:19,9 , UFNZ , United Future , 1332 , 0 , 0 , 0.1 , 0
23rd 22:19,27 , NZOP , NZ Outdoors Party , 1199 , 0 , 0 , 0.1 , 0
23rd 22:19,8 , NZDSC , Democrats for Social Credit , 666 , 0 , 0 , 0.0 , 0
